Time;SP;PV;CV
0.0;50,00;50,000;25,15
1.0;50,00;50,018;24,99
2.0;50,00;49,984;25,08
3.0;50,00;49,947;24,58
4.0;50,00;49,973;24,91
5.0;50,00;49,941;24,85
6.0;50,00;50,004;24,78
7.0;50,00;50,080;24,44
8.0;50,00;49,970;24,92
9.0;50,00;49,963;25,22
10.0;50,00;50,029;25,10
11.0;50,00;50,021;24,85
12.0;50,00;50,006;25,00
13.0;50,00;49,944;25,19
14.0;50,00;49,998;24,31
15.0;50,00;50,042;24,97
16.0;50,00;49,919;25,14
17.0;50,00;49,973;25,17
18.0;50,00;49,886;25,43
19.0;50,00;49,923;25,28
20.0;50,00;49,889;25,08
21.0;50,00;49,986;25,08
22.0;50,00;49,924;25,20
23.0;50,00;50,016;24,87
24.0;50,00;50,009;24,99
25.0;50,00;49,989;25,23
26.0;50,00;49,849;25,49
27.0;50,00;49,968;24,96
28.0;50,00;49,997;24,99
29.0;50,00;50,007;25,05
30.0;50,00;49,908;25,34
31.0;50,00;49,971;24,99
32.0;50,00;49,941;25,37
33.0;50,00;49,951;24,76
34.0;50,00;50,064;24,95
35.0;50,00;49,952;24,95
36.0;50,00;49,998;25,20
37.0;50,00;50,053;25,26
38.0;50,00;49,965;24,62
39.0;50,00;49,993;24,77
40.0;50,00;50,007;25,08
41.0;50,00;50,004;24,84
42.0;50,00;49,926;24,62
43.0;50,00;50,005;25,26
44.0;50,00;50,082;25,12
45.0;50,00;49,907;25,12
46.0;50,00;50,052;24,88
47.0;50,00;50,007;25,26
48.0;50,00;49,962;24,94
49.0;50,00;50,120;25,27
50.0;50,00;50,046;24,77
51.0;50,00;49,928;24,79
52.0;50,00;50,004;25,05
53.0;50,00;50,035;24,82
54.0;50,00;49,989;25,17
55.0;50,00;50,041;25,07
56.0;50,00;49,996;24,77
57.0;50,00;50,040;25,02
58.0;50,00;50,086;24,91
59.0;50,00;49,959;25,23
60.0;50,00;50,012;24,84
61.0;50,00;49,972;24,89
62.0;50,00;50,008;25,30
63.0;50,00;49,929;25,56
64.0;50,00;49,965;25,50
65.0;50,00;49,988;25,02
66.0;50,00;50,054;25,05
67.0;50,00;50,069;25,38
68.0;50,00;49,921;24,97
69.0;50,00;49,952;24,76
70.0;50,00;50,039;25,03
71.0;50,00;49,880;25,11
72.0;50,00;49,972;24,79
73.0;50,00;49,994;24,59
74.0;50,00;50,075;24,64
75.0;50,00;50,041;25,17
76.0;50,00;49,980;24,81
77.0;50,00;49,978;24,96
78.0;50,00;49,985;25,05
79.0;50,00;50,091;25,15
80.0;50,00;49,974;24,92
81.0;50,00;49,982;25,12
82.0;50,00;50,021;24,78
83.0;50,00;49,993;24,91
84.0;50,00;49,988;24,74
85.0;50,00;49,933;25,28
86.0;50,00;49,999;24,99
87.0;50,00;49,973;24,82
88.0;50,00;50,070;24,91
89.0;50,00;50,039;24,94
90.0;50,00;49,999;25,18
91.0;50,00;50,040;24,60
92.0;50,00;49,980;24,74
93.0;50,00;50,063;24,91
94.0;50,00;50,000;25,63
95.0;50,00;50,035;25,24
96.0;50,00;49,923;24,97
97.0;50,00;50,021;25,18
98.0;50,00;49,899;25,51
99.0;50,00;49,878;24,94
100.0;50,00;49,982;24,91
101.0;50,00;49,946;25,30
102.0;50,00;50,010;25,12
103.0;50,00;50,135;25,17
104.0;50,00;49,950;24,87
105.0;50,00;49,963;25,48
106.0;50,00;50,012;25,43
107.0;50,00;50,030;25,14
108.0;50,00;49,989;25,17
109.0;50,00;49,988;24,49
110.0;50,00;50,042;25,16
111.0;50,00;50,031;24,95
112.0;50,00;49,938;25,11
113.0;50,00;49,995;25,17
114.0;50,00;50,002;24,91
115.0;50,00;49,937;24,58
116.0;50,00;50,016;25,09
117.0;50,00;49,949;24,81
118.0;50,00;50,058;24,92
119.0;50,00;50,012;24,85
120.0;60,00;50,005;24,91
121.0;60,00;49,965;24,42
122.0;60,00;49,993;25,30
123.0;60,00;49,880;25,06
124.0;60,00;49,932;25,28
125.0;60,00;50,022;25,49
126.0;60,00;49,872;25,01
127.0;60,00;50,051;24,55
128.0;60,00;50,667;40,21
129.0;60,00;51,590;40,56
130.0;60,00;52,270;41,16
131.0;60,00;53,145;41,73
132.0;60,00;53,886;41,64
133.0;60,00;54,567;42,66
134.0;60,00;55,518;42,62
135.0;60,00;56,315;43,50
136.0;60,00;57,012;43,83
137.0;60,00;57,729;43,02
138.0;60,00;58,407;42,28
139.0;60,00;58,971;41,33
140.0;60,00;59,649;40,44
141.0;60,00;60,045;39,26
142.0;60,00;60,510;38,73
143.0;60,00;60,840;38,22
144.0;60,00;61,166;37,24
145.0;60,00;61,381;36,02
146.0;60,00;61,731;34,87
147.0;60,00;61,793;33,59
148.0;60,00;61,959;33,24
149.0;60,00;61,958;32,05
150.0;60,00;61,932;31,30
151.0;60,00;61,937;30,57
152.0;60,00;61,877;30,07
153.0;60,00;61,839;29,41
154.0;60,00;61,724;29,06
155.0;60,00;61,620;28,44
156.0;60,00;61,435;28,32
157.0;60,00;61,340;28,75
158.0;60,00;61,354;28,00
159.0;60,00;61,078;27,84
160.0;60,00;60,920;27,98
161.0;60,00;60,870;28,01
162.0;60,00;60,806;27,58
163.0;60,00;60,513;27,87
164.0;60,00;60,473;28,25
165.0;60,00;60,343;28,20
166.0;60,00;60,179;28,30
167.0;60,00;60,242;28,80
168.0;60,00;60,120;28,40
169.0;60,00;60,059;28,75
170.0;60,00;59,953;28,77
171.0;60,00;59,979;29,43
172.0;60,00;59,881;28,73
173.0;60,00;59,875;29,20
174.0;60,00;59,795;29,37
175.0;60,00;59,774;29,80
176.0;60,00;59,919;29,91
177.0;60,00;59,806;30,22
178.0;60,00;59,856;29,57
179.0;60,00;59,843;30,24
180.0;60,00;59,829;30,05
181.0;60,00;59,838;30,02
182.0;60,00;59,921;30,37
183.0;60,00;59,881;30,04
184.0;60,00;59,908;29,78
185.0;60,00;59,936;30,23
186.0;60,00;60,024;29,96
187.0;60,00;60,012;30,17
188.0;60,00;60,011;30,42
189.0;60,00;59,971;30,40
190.0;60,00;59,937;30,71
191.0;60,00;60,091;30,24
192.0;60,00;60,105;29,89
193.0;60,00;60,050;30,06
194.0;60,00;60,100;29,99
195.0;60,00;60,123;29,89
196.0;60,00;60,133;30,28
197.0;60,00;60,143;29,99
198.0;60,00;60,065;29,63
199.0;60,00;60,186;30,27
200.0;60,00;60,021;30,05
201.0;60,00;60,148;30,14
202.0;60,00;60,125;30,06
203.0;60,00;60,147;30,18
204.0;60,00;60,205;30,01
205.0;60,00;60,178;30,30
206.0;60,00;60,017;30,08
207.0;60,00;59,981;30,07
208.0;60,00;60,127;30,06
209.0;60,00;60,013;29,59
210.0;60,00;60,069;29,91
211.0;60,00;60,115;29,88
212.0;60,00;59,962;30,00
213.0;60,00;59,929;29,60
214.0;60,00;60,067;30,35
215.0;60,00;60,050;29,97
216.0;60,00;60,029;29,64
217.0;60,00;60,043;29,52
218.0;60,00;59,985;29,88
219.0;60,00;59,943;29,93
220.0;60,00;60,021;29,78
221.0;60,00;59,970;29,99
222.0;60,00;59,928;29,81
223.0;60,00;60,055;30,11
224.0;60,00;60,019;29,80
225.0;60,00;60,045;29,97
226.0;60,00;59,960;30,23
227.0;60,00;59,979;30,63
228.0;60,00;59,958;29,74
229.0;60,00;59,964;29,88
230.0;60,00;60,028;29,79
231.0;60,00;59,969;30,20
232.0;60,00;60,037;29,71
233.0;60,00;60,036;29,88
234.0;60,00;60,137;30,00
235.0;60,00;59,931;29,76
236.0;60,00;60,068;29,77
237.0;60,00;60,009;29,89
238.0;60,00;60,014;29,48
239.0;60,00;59,928;29,65
240.0;60,00;59,987;29,90
241.0;60,00;60,059;30,04
242.0;60,00;60,010;29,96
243.0;60,00;60,020;29,56
244.0;60,00;59,997;29,89
245.0;60,00;60,084;30,20
246.0;60,00;60,013;30,14
247.0;60,00;59,882;29,98
248.0;60,00;59,973;29,78
249.0;60,00;59,896;30,16
250.0;60,00;59,819;29,86
251.0;60,00;59,982;29,71
252.0;60,00;60,093;29,80
253.0;60,00;60,016;30,36
254.0;60,00;59,942;30,06
255.0;60,00;59,956;30,29
256.0;60,00;60,080;29,88
257.0;60,00;60,021;30,23
258.0;60,00;60,014;29,85
259.0;60,00;60,008;29,96
260.0;60,00;60,013;30,62
261.0;60,00;60,058;30,19
262.0;60,00;60,043;29,87
263.0;60,00;60,022;29,98
264.0;60,00;59,946;30,08
265.0;60,00;60,039;30,30
266.0;60,00;59,967;29,88
267.0;60,00;60,074;29,56
268.0;60,00;59,932;29,93
269.0;60,00;59,999;30,00
270.0;60,00;60,007;30,03
271.0;60,00;59,928;30,33
272.0;60,00;60,110;30,08
273.0;60,00;60,094;30,20
274.0;60,00;59,978;29,72
275.0;60,00;60,052;30,22
276.0;60,00;60,029;30,52
277.0;60,00;59,849;30,19
278.0;60,00;60,021;30,06
279.0;60,00;60,002;30,04
280.0;60,00;60,010;30,45
281.0;60,00;59,940;29,77
282.0;60,00;59,989;29,97
283.0;60,00;59,994;30,11
284.0;60,00;60,076;30,19
285.0;60,00;60,025;29,89
286.0;60,00;60,004;30,08
287.0;60,00;60,096;29,93
288.0;60,00;59,971;30,03
289.0;60,00;59,981;29,97
290.0;60,00;59,895;29,71
291.0;60,00;60,098;29,99
292.0;60,00;60,062;30,22
293.0;60,00;60,059;29,76
294.0;60,00;60,044;29,94
295.0;60,00;60,010;30,17
296.0;60,00;60,016;29,73
297.0;60,00;59,988;30,05
298.0;60,00;59,991;29,73
299.0;60,00;60,006;30,28
300.0;60,00;60,094;30,58
301.0;60,00;60,036;30,51
302.0;60,00;59,999;29,95
303.0;60,00;59,968;30,18
304.0;60,00;59,965;30,03
305.0;60,00;60,099;30,03
306.0;60,00;60,033;30,39
307.0;60,00;60,006;29,67
308.0;60,00;59,982;30,26
309.0;60,00;59,936;29,99
310.0;60,00;59,998;30,35
311.0;60,00;60,055;30,05
312.0;60,00;59,979;29,83
313.0;60,00;59,988;30,07
314.0;60,00;59,989;30,18
315.0;60,00;60,008;30,01
316.0;60,00;59,906;30,12
317.0;60,00;59,988;29,87
318.0;60,00;59,950;29,47
319.0;60,00;60,055;30,22
320.0;60,00;59,955;30,17
321.0;60,00;60,036;30,04
322.0;60,00;60,093;30,02
323.0;60,00;59,983;30,26
324.0;60,00;59,965;29,89
325.0;60,00;60,013;29,82
326.0;60,00;60,001;29,95
327.0;60,00;59,942;30,30
328.0;60,00;60,029;29,65
329.0;60,00;60,122;30,30
330.0;60,00;59,986;29,84
331.0;60,00;59,989;29,72
332.0;60,00;59,938;30,31
333.0;60,00;60,020;29,98
334.0;60,00;59,926;29,67
335.0;60,00;59,935;29,91
336.0;60,00;60,078;30,23
337.0;60,00;59,947;30,30
338.0;60,00;60,066;29,89
339.0;60,00;60,092;30,10
340.0;60,00;60,016;30,18
341.0;60,00;60,034;29,84
342.0;60,00;60,118;30,09
343.0;60,00;59,989;29,99
344.0;60,00;59,965;29,87
345.0;60,00;59,920;29,88
346.0;60,00;60,003;30,02
347.0;60,00;60,089;30,01
348.0;60,00;60,058;29,86
349.0;60,00;59,944;29,89
350.0;60,00;59,949;30,28
351.0;60,00;59,970;30,05
352.0;60,00;60,018;30,22
353.0;60,00;59,988;30,30
354.0;60,00;60,013;30,15
355.0;60,00;60,018;30,57
356.0;60,00;59,983;29,79
357.0;60,00;59,998;30,20
358.0;60,00;60,013;29,92
359.0;60,00;59,995;30,46
360.0;60,00;60,031;30,43
361.0;60,00;60,113;29,51
362.0;60,00;60,036;29,76
363.0;60,00;60,004;30,17
364.0;60,00;59,899;30,20
365.0;60,00;60,024;30,18
366.0;60,00;59,884;29,98
367.0;60,00;59,916;30,11
368.0;60,00;60,052;30,16
369.0;60,00;60,043;29,98
370.0;60,00;59,991;30,26
371.0;60,00;59,898;29,44
372.0;60,00;59,978;30,16
373.0;60,00;59,960;29,74
374.0;60,00;60,039;30,24
375.0;60,00;60,136;29,94
376.0;60,00;60,013;29,78
377.0;60,00;59,954;30,09
378.0;60,00;59,930;29,77
379.0;60,00;59,997;29,77
380.0;60,00;59,990;29,61
381.0;60,00;59,931;29,99
382.0;60,00;60,007;30,12
383.0;60,00;59,931;30,26
384.0;60,00;60,067;29,96
385.0;60,00;60,064;30,26
386.0;60,00;60,065;30,00
387.0;60,00;59,972;29,98
388.0;60,00;60,031;30,14
389.0;60,00;59,992;30,26
390.0;60,00;59,977;29,91
391.0;60,00;59,980;29,94
392.0;60,00;59,922;29,96
393.0;60,00;59,914;30,02
394.0;60,00;60,048;29,77
395.0;60,00;59,989;30,26
396.0;60,00;60,013;29,90
397.0;60,00;60,060;30,12
398.0;60,00;59,896;29,79
399.0;60,00;59,953;30,09
400.0;60,00;60,011;30,10
