Time;SP;PV;CV
0.0;50,00;50,024;24,91
1.0;50,00;49,917;25,19
2.0;50,00;50,060;24,91
3.0;50,00;50,075;24,90
4.0;50,00;49,844;25,08
5.0;50,00;49,896;25,11
6.0;50,00;50,010;25,07
7.0;50,00;49,975;24,75
8.0;50,00;49,999;25,08
9.0;50,00;49,932;24,84
10.0;50,00;50,070;25,04
11.0;50,00;50,062;24,79
12.0;50,00;50,005;25,07
13.0;50,00;50,090;24,88
14.0;50,00;50,037;24,81
15.0;50,00;49,931;25,11
16.0;50,00;50,030;25,04
17.0;50,00;49,923;24,91
18.0;50,00;50,070;25,22
19.0;50,00;49,996;24,93
20.0;50,00;49,985;25,00
21.0;50,00;49,946;25,04
22.0;50,00;50,098;24,91
23.0;50,00;49,988;25,07
24.0;50,00;49,966;24,92
25.0;50,00;49,972;24,94
26.0;50,00;50,043;25,20
27.0;50,00;50,029;24,84
28.0;50,00;50,033;24,64
29.0;50,00;50,034;25,24
30.0;50,00;50,171;25,38
31.0;50,00;49,967;24,94
32.0;50,00;49,959;24,71
33.0;50,00;49,935;24,95
34.0;50,00;50,049;24,96
35.0;50,00;50,090;24,97
36.0;50,00;49,991;24,83
37.0;50,00;49,933;25,09
38.0;50,00;49,934;25,08
39.0;50,00;50,052;24,78
40.0;50,00;50,059;25,10
41.0;50,00;50,043;25,31
42.0;50,00;49,947;25,03
43.0;50,00;50,019;24,95
44.0;50,00;50,009;24,98
45.0;50,00;50,017;25,09
46.0;50,00;50,070;24,74
47.0;50,00;50,018;25,02
48.0;50,00;50,054;24,94
49.0;50,00;50,005;25,28
50.0;50,00;50,023;24,97
51.0;50,00;50,051;25,25
52.0;50,00;49,883;24,83
53.0;50,00;49,974;25,09
54.0;50,00;49,962;25,05
55.0;50,00;49,949;24,87
56.0;50,00;49,978;25,03
57.0;50,00;50,120;25,18
58.0;50,00;49,931;24,95
59.0;50,00;50,077;24,75
60.0;50,00;49,865;25,00
61.0;50,00;49,973;24,86
62.0;50,00;50,013;24,95
63.0;50,00;50,047;24,99
64.0;50,00;50,057;24,74
65.0;50,00;50,063;24,76
66.0;50,00;49,972;25,07
67.0;50,00;49,963;24,92
68.0;50,00;50,069;24,62
69.0;50,00;49,985;25,12
70.0;50,00;49,898;25,04
71.0;50,00;49,909;24,89
72.0;50,00;49,926;24,80
73.0;50,00;50,040;25,13
74.0;50,00;50,011;25,05
75.0;50,00;50,055;25,36
76.0;50,00;49,966;25,06
77.0;50,00;50,013;25,06
78.0;50,00;50,050;24,97
79.0;50,00;49,975;25,12
80.0;50,00;50,037;25,09
81.0;50,00;49,947;25,19
82.0;50,00;49,971;24,92
83.0;50,00;49,969;24,93
84.0;50,00;49,904;24,93
85.0;50,00;50,039;25,12
86.0;50,00;49,962;25,22
87.0;50,00;50,001;24,93
88.0;50,00;50,038;24,94
89.0;50,00;50,036;25,05
90.0;50,00;50,053;24,96
91.0;50,00;49,992;25,14
92.0;50,00;49,966;24,66
93.0;50,00;49,994;24,88
94.0;50,00;49,865;24,88
95.0;50,00;49,884;24,65
96.0;50,00;49,894;24,86
97.0;50,00;49,920;24,86
98.0;50,00;50,032;24,97
99.0;50,00;49,928;25,17
100.0;50,00;49,970;39,96
101.0;50,00;50,104;39,85
102.0;50,00;49,971;39,99
103.0;50,00;50,059;40,16
104.0;50,00;49,925;39,85
105.0;50,00;49,984;39,86
106.0;50,00;49,924;40,08
107.0;50,00;49,973;39,97
108.0;50,00;50,817;40,10
109.0;50,00;51,343;40,00
110.0;50,00;52,229;40,11
111.0;50,00;52,908;39,84
112.0;50,00;53,520;40,00
113.0;50,00;54,112;39,97
114.0;50,00;54,878;39,82
115.0;50,00;55,458;39,77
116.0;50,00;56,132;40,10
117.0;50,00;56,712;39,95
118.0;50,00;57,421;39,85
119.0;50,00;57,841;39,99
120.0;50,00;58,332;40,17
121.0;50,00;58,968;39,66
122.0;50,00;59,497;39,78
123.0;50,00;60,101;39,86
124.0;50,00;60,559;40,22
125.0;50,00;61,009;40,04
126.0;50,00;61,573;40,12
127.0;50,00;61,824;39,83
128.0;50,00;62,320;39,83
129.0;50,00;62,738;40,07
130.0;50,00;63,211;40,01
131.0;50,00;63,551;40,08
132.0;50,00;64,120;39,97
133.0;50,00;64,450;40,04
134.0;50,00;64,738;40,02
135.0;50,00;65,153;40,12
136.0;50,00;65,629;40,12
137.0;50,00;66,031;39,76
138.0;50,00;66,474;39,66
139.0;50,00;66,890;40,15
140.0;50,00;67,023;40,18
141.0;50,00;67,236;39,85
142.0;50,00;67,462;39,72
143.0;50,00;67,963;40,01
144.0;50,00;68,178;40,14
145.0;50,00;68,504;40,27
146.0;50,00;68,775;40,08
147.0;50,00;69,092;39,94
148.0;50,00;69,461;39,87
149.0;50,00;69,654;40,00
150.0;50,00;69,887;39,96
151.0;50,00;70,070;39,85
152.0;50,00;70,265;40,31
153.0;50,00;70,600;40,27
154.0;50,00;70,868;40,17
155.0;50,00;71,242;39,86
156.0;50,00;71,334;40,13
157.0;50,00;71,619;40,10
158.0;50,00;71,712;40,07
159.0;50,00;71,863;40,19
160.0;50,00;72,082;40,10
161.0;50,00;72,297;40,11
162.0;50,00;72,717;40,10
163.0;50,00;72,667;40,05
164.0;50,00;72,981;39,73
165.0;50,00;73,019;40,01
166.0;50,00;73,339;39,92
167.0;50,00;73,463;39,81
168.0;50,00;73,584;40,25
169.0;50,00;73,754;40,26
170.0;50,00;73,860;40,20
171.0;50,00;74,101;40,04
172.0;50,00;74,177;40,20
173.0;50,00;74,260;40,00
174.0;50,00;74,397;40,03
175.0;50,00;74,650;39,84
176.0;50,00;74,897;40,06
177.0;50,00;74,914;40,01
178.0;50,00;75,019;39,80
179.0;50,00;75,176;39,99
180.0;50,00;75,379;39,99
181.0;50,00;75,410;40,27
182.0;50,00;75,475;40,13
183.0;50,00;75,709;40,00
184.0;50,00;75,764;40,04
185.0;50,00;75,959;40,01
186.0;50,00;75,955;39,97
187.0;50,00;75,944;39,84
188.0;50,00;76,031;39,98
189.0;50,00;76,369;39,89
190.0;50,00;76,469;39,81
191.0;50,00;76,409;40,08
192.0;50,00;76,482;40,06
193.0;50,00;76,717;39,73
194.0;50,00;76,596;39,98
195.0;50,00;76,696;40,15
196.0;50,00;76,900;40,16
197.0;50,00;76,896;40,15
198.0;50,00;77,004;40,01
199.0;50,00;77,066;39,87
200.0;50,00;77,179;39,84
201.0;50,00;77,336;40,05
202.0;50,00;77,300;40,06
203.0;50,00;77,412;40,19
204.0;50,00;77,262;40,16
205.0;50,00;77,487;39,98
206.0;50,00;77,486;39,81
207.0;50,00;77,517;39,95
208.0;50,00;77,604;40,03
