Time;SP;PV;CV
0.0;50,00;50,002;24,75
1.0;50,00;50,068;25,11
2.0;50,00;50,061;25,07
3.0;50,00;49,974;24,72
4.0;50,00;49,985;25,32
5.0;50,00;49,974;25,39
6.0;50,00;50,028;24,81
7.0;50,00;49,997;25,35
8.0;50,00;49,787;20,01
9.0;50,00;49,414;19,97
10.0;50,00;49,347;20,30
11.0;50,00;49,032;20,05
12.0;50,00;48,845;20,06
13.0;50,00;48,584;20,30
14.0;50,00;48,357;20,26
15.0;50,00;48,190;20,18
16.0;50,00;48,004;19,72
17.0;50,00;47,753;19,69
18.0;50,00;47,562;20,23
19.0;50,00;49,414;59,81
20.0;50,00;51,102;60,03
21.0;50,00;52,791;59,79
22.0;50,00;54,565;59,96
23.0;50,00;56,148;59,74
24.0;50,00;57,681;60,33
25.0;50,00;59,292;59,80
26.0;50,00;60,826;59,98
27.0;50,00;62,268;59,96
28.0;50,00;63,695;60,24
29.0;50,00;63,177;19,72
30.0;50,00;62,641;19,99
31.0;50,00;62,020;19,96
32.0;50,00;61,443;20,11
33.0;50,00;60,963;20,09
34.0;50,00;60,456;19,91
35.0;50,00;59,894;20,05
36.0;50,00;59,439;19,93
37.0;50,00;58,979;20,09
38.0;50,00;58,443;19,98
39.0;50,00;57,951;19,87
40.0;50,00;57,559;19,99
41.0;50,00;57,116;20,07
42.0;50,00;56,731;20,45
43.0;50,00;56,195;19,90
44.0;50,00;55,820;20,06
45.0;50,00;55,414;20,29
46.0;50,00;54,983;19,58
47.0;50,00;54,699;19,65
48.0;50,00;54,352;19,76
49.0;50,00;53,931;19,98
50.0;58,00;53,688;20,49
51.0;58,00;53,319;20,08
52.0;58,00;52,977;20,24
53.0;58,00;52,642;19,96
54.0;58,00;52,355;19,51
55.0;58,00;51,933;19,54
56.0;58,00;51,730;20,20
57.0;58,00;51,437;20,04
58.0;58,00;53,033;59,74
59.0;58,00;54,811;60,22
60.0;58,00;56,411;59,69
61.0;58,00;58,052;60,23
62.0;58,00;59,541;60,29
63.0;58,00;61,073;59,85
64.0;58,00;62,564;59,78
65.0;58,00;63,939;60,17
66.0;58,00;65,414;59,78
67.0;58,00;66,744;60,17
68.0;58,00;68,105;59,76
69.0;58,00;69,352;60,16
70.0;58,00;70,698;60,02
71.0;58,00;69,908;19,91
72.0;58,00;69,122;19,82
73.0;58,00;68,434;20,05
74.0;58,00;67,755;19,62
75.0;58,00;67,090;19,94
76.0;58,00;66,246;19,92
77.0;58,00;65,711;20,14
78.0;58,00;65,049;19,75
79.0;58,00;64,395;20,34
80.0;58,00;63,739;19,94
81.0;58,00;63,258;19,77
82.0;58,00;62,552;20,28
83.0;58,00;62,078;20,33
84.0;58,00;61,564;19,96
85.0;58,00;60,881;19,82
86.0;58,00;60,422;20,00
87.0;58,00;59,861;19,86
88.0;58,00;59,440;19,94
89.0;58,00;59,018;20,31
90.0;58,00;58,570;20,08
91.0;58,00;57,918;20,03
92.0;58,00;57,528;20,07
93.0;58,00;57,153;19,99
94.0;58,00;56,769;20,17
95.0;58,00;56,294;20,18
96.0;58,00;55,829;19,93
97.0;58,00;55,484;20,02
98.0;58,00;55,082;20,48
99.0;58,00;54,695;20,08
100.0;58,00;54,301;19,96
101.0;58,00;53,999;20,41
102.0;58,00;55,645;60,00
103.0;58,00;57,234;59,78
104.0;58,00;58,797;60,13
105.0;58,00;60,274;59,82
106.0;58,00;61,805;59,90
107.0;58,00;63,344;60,07
108.0;58,00;64,692;59,97
109.0;58,00;66,012;59,85
110.0;58,00;67,499;59,89
111.0;58,00;68,773;59,88
112.0;58,00;70,133;60,23
113.0;58,00;69,280;19,86
114.0;58,00;68,522;19,89
115.0;58,00;67,759;20,41
116.0;58,00;67,202;19,89
117.0;58,00;66,586;20,30
118.0;58,00;65,755;20,26
119.0;58,00;65,118;19,97
120.0;58,00;64,552;19,72
121.0;58,00;63,867;20,09
122.0;58,00;63,298;20,13
123.0;58,00;62,711;20,19
124.0;58,00;62,170;20,01
125.0;58,00;61,661;20,24
126.0;58,00;61,067;20,28
127.0;58,00;60,585;19,79
128.0;58,00;60,005;20,29
129.0;58,00;59,542;20,03
130.0;58,00;58,930;19,89
131.0;58,00;58,489;19,94
132.0;58,00;58,137;20,38
133.0;58,00;57,615;20,20
134.0;58,00;57,233;19,64
135.0;58,00;56,801;20,02
136.0;58,00;56,420;19,97
137.0;58,00;55,986;19,96
138.0;58,00;55,598;19,90
139.0;58,00;55,152;19,71
140.0;58,00;54,744;20,17
141.0;58,00;54,373;19,81
142.0;58,00;54,025;19,93
143.0;58,00;55,642;59,88
144.0;58,00;57,278;59,85
145.0;58,00;58,868;60,15
146.0;58,00;60,414;60,08
147.0;58,00;61,874;59,87
148.0;58,00;63,248;59,81
149.0;58,00;64,757;59,91
150.0;58,00;66,153;60,19
151.0;58,00;67,542;60,03
152.0;58,00;68,829;60,05
153.0;58,00;70,048;59,93
154.0;58,00;69,292;19,95
155.0;58,00;68,696;20,04
156.0;58,00;67,918;19,63
157.0;58,00;67,275;20,32
158.0;58,00;66,610;19,84
159.0;58,00;65,800;19,89
160.0;58,00;65,215;20,27
161.0;58,00;64,588;20,04
162.0;58,00;63,979;20,01
163.0;58,00;63,380;19,88
164.0;58,00;62,779;19,69
165.0;58,00;62,208;20,04
166.0;58,00;61,569;20,24
167.0;58,00;61,095;19,82
168.0;58,00;60,538;20,27
169.0;58,00;60,068;19,77
170.0;58,00;59,536;19,85
171.0;58,00;59,102;20,10
172.0;58,00;58,635;20,00
173.0;58,00;58,145;20,14
174.0;58,00;57,692;19,85
175.0;58,00;57,239;19,79
176.0;58,00;56,781;19,63
177.0;58,00;56,375;19,76
178.0;58,00;55,949;19,78
179.0;58,00;55,594;19,71
180.0;58,00;55,186;20,06
181.0;58,00;54,834;19,87
182.0;58,00;54,369;19,60
183.0;58,00;54,119;20,50
184.0;58,00;55,684;59,83
185.0;58,00;57,293;59,75
186.0;58,00;58,886;60,25
187.0;58,00;60,396;60,23
188.0;58,00;61,928;59,77
189.0;58,00;63,337;59,71
190.0;58,00;64,728;59,80
191.0;58,00;66,119;60,23
192.0;58,00;67,573;59,94
193.0;58,00;68,822;59,84
194.0;58,00;70,041;59,99
195.0;58,00;69,347;20,24
196.0;58,00;68,535;19,72
197.0;58,00;67,987;19,92
198.0;58,00;67,124;19,72
199.0;58,00;66,544;20,43
200.0;58,00;65,885;20,36
201.0;58,00;65,138;20,19
202.0;58,00;64,596;19,97
203.0;58,00;64,016;20,13
204.0;58,00;63,390;19,58
